No,Kata Tunggal,Arti,Jamak Taksir,Arti Jamak,Contoh Kalimat,Terjemah
23,جَامِعَةٌ,universitas,أَجَامِعٌ,universitas-universitas,الجَامِعَاتُ تُقَدِّمُ التَّعْلِيمَ العُلْيَا لِلطُّلَّابِ.,Universitas-universitas memberikan pendidikan tinggi kepada mahasiswa.
24,كُرْسِيٌّ,kursi,أَكْرَاسٌ,kursi-kursi,الكُرَاسِيُّ مَوْجُودَةٌ فِي الصَّالَةِ لِلضُّيُوفِ لِلجُلُوسِ.,Kursi-kursi tersedia di ruang tamu untuk tamu duduk.
25,طَاوِلَةٌ,meja,أَطْوَالٌ,meja-meja,الطَّوَاوِلُ فِي الغُرْفَةِ تُسَاعِدُ فِي تَنَاوُلِ الطَّعَامِ وَالقِرَاءَةِ.,Meja-meja di ruang menolong dalam makan dan membaca.
26,مِفْتَاحٌ,kunci,أَمْفَاتٌ,kunci-kunci,لمَفَاتِيحُ عَلى الطَّاوِلَةِ في المَنْزِلِ.,Kunci-kunci ada di atas meja di rumah.
27,سَاعَةٌ,jam,أَسَاعٍ,jam-jam,السَّاعَاتُ تُظْهِرُ الوَقْتَ بِدَقَّةٍ كُلَّ سَاعَةٍ.,Jam-jam menunjukkan waktu dengan tepat setiap jamnya.
28,غُرْفَةٌ,ruangan,أَغْرُفٌ,ruangan-ruangan,الغُرَفُ فِي الفِنْدَقِ كَانَتْ وَاسِعَةً وَمُرِيحَةً.,Kamar-kamar di hotel itu luas dan nyaman.
29,جَدِيدٌ,kakek,أَجْدَادٌ,kakek-nenek,الجُدُدُ مُتَوَفِّرَةٌ فِي السُّوقِ الآن.,Barang-barang baru tersedia di pasar sekarang.
30,شَارِعٌ,jalan,أَشْوَارٌ,jalan-jalan,الشُّوَارِعُ مَزْدَحِمَةٌ خَلَالَ فَتْرَاتِ الذُّروَةِ.,Jalan-jalan ramai selama jam sibuk.
31,عُمْرٌ,umur,أَعْمَارٌ,umur-umur,الأَعْمَارُ تُعْتَبَرُ مِنْ أَسَاسِ الْخُبرَةِ وَالْحِكْمَةِ.,Umur-umur dianggap sebagai dasar pengalaman dan kebijaksanaan.
32,حَيَوَانٌ,hewan,أَحْيَاءٌ,hewan-hewan,الحَيَوَانَاتُ فِي الغَابَةِ تَبْحَثُ عَنْ الطَّعَامِ وَالمَأْوَى.,Hewan-hewan di hutan mencari makanan dan tempat berlindung.
33,طَبِيبٌ,dokter,أَطْبَابٌ,dokter-dokter,الأَطْبَاءُ يَعْمَلُونَ بِالْمُسْتَشْفَيَاتِ لِمُعَالَجَةِ الْمَرْضَى.,Dokter-dokter bekerja di rumah sakit untuk merawat pasien.
34,كَاتِبٌ,penulis,أَكَاتِيبٌ,penulis-penulis,الكُتَّابُ يُنْشِرُونَ أَعْمَالَهُمْ عَنْ طَرِيقِ النَّشْرِ.,Penulis-penulis menerbitkan karya-karya mereka melalui penerbitan.
35,مُمَرِّضٌ,perawat,أَمْمَارِضٌ,perawat-perawat,الْمُمَرِّضُونَ يُقْدِمُونَ الرِّعَايَةَ لِلْمَرْضَى فِي الْمُسْتَشْفَيَاتِ.,Perawat-perawat memberikan perawatan kepada pasien di rumah sakit.
36,طالب,siswa,طلاب,para siswa,الطُّلَّابُ يَدْرُسُونَ بِجَدٍّ فِي الْمَدَارِسِ لِنَجَاحِهِمْ.,Mahasiswa-mahasiswa belajar dengan tekun di sekolah untuk kesuksesan mereka.
37,باب,pintu,أبواب,pintu-pintu,الأَبْوَابُ فِي الْمَنْزِلِ تَحْمِي مِنَ الْخَارِجِ.,Pintu-pintu di rumah melindungi dari luar.
38,كتاب,buku,كتب,buku-buku,الْكُتُبُ مَوْجُودَةٌ عَلَى الرَّفِّ فِي الْمَكْتَبَةِ.,Buku-buku tersedia di rak-rak di perpustakaan.
39,مسجد,masjid,مساجد,masjid-masjid,الْمَسَاجِدُ مَكَانٌ لِلصَّلاَةِ وَالتَّعَبُّدِ لِلْمُسْلِمِينَ.,Masjid-masjid adalah tempat untuk salat dan ibadah bagi umat Islam.
40,دار,rumah,دور,rumah-rumah,الدُّوُرُ السَّكَنِيَّةُ فِي الْحَيِّ هِيَ مَكَانٌ لِلْإِقَامَةِ.,Rumah-rumah perumahan di lingkungan adalah tempat tinggal.
41,جبل,gunung,جبال,gunung-gunung,الْجِبَالُ تُعْتَبَرُ مِنْ أَعْلَى نُقُطِ الأَرْضِ.,Gunung-gunung dianggap sebagai titik tertinggi di Bumi.
42,مدينة,kota,مدن,kota-kota,الْمُدُنُ تُعْتَبَرُ مِنْ أَكْبَرِ الأَحْيَاءِ الْبَشَرِيَّةِ.,Kota-kota dianggap sebagai pusat kehidupan manusia yang besar.
43,معلم,guru,معلمون,para guru,الْمُعَلِّمُونَ يُعَلِّمُونَ الطُّلَّابَ الْمَوَادَ الدِّرَاسِيَّةَ.,Guru-guru mengajar siswa-siswa mata pelajaran sekolah.
44,سيارة,mobil,سيارات,mobil-mobil,السَّيَّارَاتُ تُسْتَخْدَمُ كَوسِيلَةِ لِلتَّنْقِلِ بَيْنَ الأَمَاكِنِ.,Mobil-mobil digunakan sebagai sarana transportasi antara tempat-tempat.
45,دكان,toko,دكاكين,toko-toko,الدُّكَاكِينُ تُوَفِّرُ السَّلْعَ الْيَوْمِيَّةَ لِلنَّاسِ فِي السُّوقِ.,Toko-toko menyediakan barang-barang sehari-hari untuk orang-orang di pasar.
46,قلم,pena,أقلام,pena-pena,الأَقْلَامُ مُهَمَّةٌ لِلْكِتَابَةِ وَالرَّسْمِ.,Pulpen-pulpen penting untuk menulis dan menggambar.
47,مدرسة,sekolah,مدارس,sekolah-sekolah,الْمَدَارِسُ تُعْلِمُ الطُّلَّابَ مُجَمَّعَةً عَنْ الْمَوَادِ الدِّرَاسِيَّةِ.,Sekolah-sekolah mengajarkan siswa-siswa tentang mata pelajaran sekolah.
48,طالب,murid,طلبة,para murid,الطُّلَّابُ يَذْهَبُونَ إِلَى الْمَدَرَسَةِ يَوْمِيًّا لِلدِّرَاسَةِ.,Siswa-siswa pergi ke sekolah setiap hari untuk belajar.
49,عامل,pekerja,عمال,para pekerja,الْعُمَّالُ يَعْمَلُونَ بِجِدٍّ فِي مَوَاقِعِ الْعَمَلِ.,Pekerja-pekerja bekerja keras di lokasi-lokasi kerja.
50,تاجر,pedagang,تجار,para pedagang,التُّجَّارُ يَبِيعُونَ السُّلَعَ وَيَشْتَرُونَهَا لِبَيْعِهَا لِلزَّبَائِنِ.,Pedagang-pedagang menjual dan membeli barang untuk dijual kepada pelanggan.
51,درس,pelajaran,دروس,pelajaran-pelajaran,دُرُوسِ فِي الْمَدْرَسَةِ مُفِيدَةٌ لِلطُّلَّابِ.,Pelajaran di sekolah bermanfaat bagi siswa.
52,وقت,waktu,أوقات,waktu-waktu,الْأَوْقَاتُ تَمُرُّ بِسُرْعَةٍ عِنْدَمَا نَكُونُ مُشْغَلِينَ.,Waktu berlalu dengan cepat ketika kita sibuk.
53,كتاب,kitab,كتب,kitab-kitab,الْكُتُبُ فِي الْمَكْتَبَةِ مُتَنَوِّعَةٌ وَمُفِيدَةٌ لِلْقِرَاءَةِ.,Buku-buku di perpustakaan bervariasi dan bermanfaat untuk dibaca.
54,رجل,pria,رجال,para pria,الرِّجَالُ فِي الْقَرْيَةِ يَعْمَلُونَ فِي الْحُقُولِ.,Para pria di desa bekerja di ladang.
55,امرأة,wanita,نساء,wanita-wanita,النِّسَاءُ فِي الْجَمْعِيَّةِ يُنَظِّمْنَ فَعَالِيَّاتٍ اجْتِمَاعِيَّةً.,Para wanita di perkumpulan mengatur acara sosial.
56,طالب,siswa,طلاب,siswa-siswa,الطُّلَّابُ فِي الْجَامِعَةِ يَدْرُسُونَ مَوَادًا مُتَنَوِّعَةً.,Mahasiswa di universitas belajar berbagai mata pelajaran.
57,بيت,rumah,بيوت,rumah-rumah,الْبُيُوتُ فِي الْحَيِّ بُنِيَتْ بِتَصَامِيمَ جَمِيلَةٍ.,Rumah-rumah di lingkungan dibangun dengan desain yang indah.
58,مكتب,meja,مكاتب,meja-meja,الْمَكَاتِبُ فِي الشَّرِكَةِ مُجَهَّزَةٌ بِكُلِّ التَّقْنِيَّاتِ الْحَدِيثَةِ.,Kantor-kantor di perusahaan dilengkapi dengan teknologi modern.
59,صحيفة,koran,صحف,koran-koran,الصُّحُفُ فِي الصَّحَافَةِ تُعَرِّضُ الْأَخْبَارَ الْيَوْمِيَّةَ.,Surat kabar di media cetak menampilkan berita harian.
60,نهر,sungai,أنهار,sungai-sungai,الْأَنْهَارُ فِي الْبِلَادِ تُوَفِّرُ مَصَادِرَ مَيَاهٍ غَنِيَّةٍ.,Sungai-sungai di negara ini menyediakan sumber air yang kaya.
61,شجرة,pohon,أشجار,pohon-pohon,شُجَارُ الْغَابَةِ تُوَفِّرُ الظِّلَّ.,Pohon-pohon di hutan menyediakan tempat teduh.
62,باب,pintu,أبواب,pintu-pintu,أَبْوَابُ الْبُيُوتِ مُصْنَعَةٌ مِنَ الْخَشَبِ.,Pintu-pintu rumah terbuat dari kayu.
63,رجل,laki-laki,رجال,laki-laki (banyak),رِجَالُ الشُّرْطَةِ يُحَافِظُونَ عَلَى الْأَمْنِ.,Polisi menjaga keamanan.
64,فتاة,gadis,فتيات,gadis-gadis,فَتَيَاتُ الْمَدْرَسَةِ يَشَارِكْنَ فِي الْأَنْشِطَةِ.,Gadis-gadis sekolah berpartisipasi dalam kegiatan.
65,طالب,pelajar,طلبة,pelajar-pelajar,طُلَّابُ الْجَامِعَةِ يَدْرُسُونَ بِجِدٍّ.,Mahasiswa universitas belajar dengan giat.
66,بحر,laut,بحار,laut-laut,بُحَارُ الْعَالَمِ مَلِيئَةٌ بِالْأَسْرَارِ.,Lautan di dunia penuh dengan rahasia.
67,طريق,jalan,طرق,jalan-jalan,طُرُقُ الْمَدِينَةِ مُزْدَحِمَةٌ.,Jalan-jalan kota padat.
68,كلب,anjing,كلاب,anjing-anjing,كِلَابُ الْجِيَارِ تُحَرِّسُ الْمَنَازِلَ.,Anjing-anjing tetangga menjaga rumah.
69,زهرة,bunga,زهور,bunga-bunga,زُهُورُ الْحَدِيقَةِ تَنْمُو بِشَكْلٍ جَمِيلٍ.,Bunga-bunga di taman tumbuh dengan indah.
70,كتاب,buku,كتب,buku-buku,كُتُبُ الْمَكْتَبَةِ مُفِيدَةٌ لِلْقِرَاءَةِ.,Buku-buku di perpustakaan bermanfaat untuk dibaca.
71,طالب,murid,طلبة,para murid,طُلَّابُ الصَّفِّ يَحْضُرُونَ الدُّرُوسَ بِانْتِظَامٍ.,Siswa-siswa di kelas hadir dalam pelajaran secara teratur.
72,مريض,pasien,مرضى,para pasien,مَرْضَى الْمُسْتَشْفَى يَتَلَقَّوْنَ الْعِلاَجَ.,Pasien-pasien di rumah sakit menerima perawatan.
73,حجر,batu,أحجار,batu-batu,أَحْجَارُ الْبَحْرِ نَاعِمَةٌ.,Batu-batu laut halus.
74,عالم,ilmuwan,علماء,para ilmuwan,عُلَمَاءُ الْفَلَكِ يَدْرُسُونَ النُّجُومَ.,Astronom mempelajari bintang-bintang.
75,قلم,pena,أقلام,pena-pena,قْلاَمُ الرَّصَاصِ مُفِيدَةٌ لِلرَّسْمِ.,Pensil berguna untuk menggambar.
76,كتاب,kitab,كتب,kitab-kitab,كُتُبُ الْأَدَبِ مُمْتَعَةٌ لِلْقِرَاءَةِ.,Buku-buku sastra menyenangkan untuk dibaca.
77,طائر,burung,طيور,burung-burung,طَيُورُ الْحَدِيقَةِ تَغْنِي فِي الصَّبَاحِ.,Burung-burung di taman bernyanyi di pagi hari.
78,شباك,jendela,شبابيك,jendela-jendela,شَبَابِيكُ الْمَنَازِلِ الْقَدِيمَةِ مُزَخَّرَفَةٌ.,Jendela-jendela rumah tua dihias.
79,شارع,jalan,شوارع,jalan-jalan,شَوَارِعُ الْعَاصِمَةِ مُزْدَحِمَةٌ بِالسِّيَارَاتِ.,Jalan-jalan ibu kota padat dengan mobil.
80,ملك,raja,ملوك,para raja,مُلُوكُ التَّارِيخِ كَانَ لَهُمْ تَأْثِيرٌ كَبِيرٌ.,Raja-raja dalam sejarah memiliki pengaruh besar.
81,نجم,bintang,نجوم,bintang-bintang,نُجُومُ السَّمَاءِ تُضِيءُ اللَّيْلَ.,Bintang-bintang di langit menerangi malam.
82,دفت,buku catatan,دفاتر,buku catatan,دَفَاتِرُ الْمَدْرَسَةِ مُلْوَنَةٌ.,Buku tulis sekolah berwarna-warni.
83,يوم,hari,أيام,hari-hari,أَيَّامُ الْأَسْبُوعِ سَبْعَةٌ.,Hari-hari dalam minggu ada tujuh.
84,جبل,gunung,جبال,gunung-gunung,جِبَالُ الْأَلْبِ رَائِعَةٌ.,Pegunungan Alpen menakjubkan.
85,باب,pintu,أبواب,pintu-pintu,أَبْوَابُ الْمَدَارِسِ مَغْلُقَةٌ فِي اللَّيْلِ.,Pintu-pintu sekolah ditutup pada malam hari.
86,بيت,rumah,بيوت,rumah-rumah,بُيُوتُ الْقَرْيَةِ تَقْلِيدِيَّةٌ.,Rumah-rumah di desa tradisional.
87,مسجد,masjid,مساجد,masjid-masjid,مَسَاجِدُ الْمَدِينَةِ مَلِيئَةٌ بِالْمُصَلِّينَ.,Masjid-masjid di kota penuh dengan jamaah.
88,جبل,gunung,جبال,gunung-gunung,جِبَالُ الْأَطْلَسِ شَاهِقَةٌ.,Pegunungan Atlas menjulang tinggi.
89,كتاب,buku,كتب,buku-buku,كُتُبُ الْفَلْسَفَةِ عَمِيقَةٌ.,Buku-buku filsafat mendalam.
90,معلم,guru,معلمون,para guru,مُعَلِّمُونَ الْمَدْرَسَةِ يُسَاعِدُونَ الطُّلَّابَ.,Guru-guru di sekolah membantu siswa.
91,بحر,laut,بحار,laut-laut,بُحَارُ الْمَحِيطِ وَاسِعَةٌ.,Lautan di samudera luas.
92,درس,pelajaran,دروس,pelajaran-pelajaran,دُرُوسُ الْعُلُومِ مُفِيدَةٌ.,Pelajaran ilmu pengetahuan bermanfaat.
93,سيارة,mobil,سيارات,mobil-mobil,سِيَارَاتُ الْأَجْرَةِ سَرِيعَةٌ.,Taksi-taksi cepat.
94,وقت,waktu,أوقات,waktu-waktu,أَوْقَاتُ الْفَرَاغِ مُهِمَّةٌ.,Waktu luang penting.
95,دكان,toko,دكاكين,toko-toko,دُكَاكِينُ السُّوقِ مُتَنَوِّعَةٌ.,Toko-toko di pasar beragam.
96,قلم,pena,أقلام,pena-pena,أَقْلاَمُ الْحِبْرِ مُفِيدَةٌ.,Pulpen berguna.
97,مدرسة,sekolah,مدارس,sekolah-sekolah,مَدَارِسُ الْقَرْيَةِ صَغِيرَةٌ.,Sekolah-sekolah di desa kecil.
98,معلم,guru,معلمون,para guru,مُعَلِّمُونَ الرِّيَاضِيَّاتِ مُتَمِّمُونَ.,Guru-guru matematika istimewa.
99,طالب,murid,طلبة,para murid,طُلَّابُ الْمَدْرَسَةِ مُجْتَهِدُونَ.,Siswa-siswa sekolah rajin.
100,عامل,pekerja,عمال,para pekerja,عُمَّالُ الْبِنَاءِ يَبْنُونَ الْمَنَازِلَ.,Pekerja konstruksi membangun rumah.
101,تاجر,pedagang,تجار,para pedagang,جَّارُ السُّوقِ نَشِطُونَ.,Pedagang di pasar giat.
102,تلميذ,murid,تلاميذ,murid-murid,تِلَامِيذُ الْفَصْلِ يَدْرُسُونَ بِجِدٍّ.,Siswa-siswa di kelas belajar dengan giat.
103,ملك,raja,ملوك,para raja,مُلُوكُ التَّارِيخِ كَانُوا عُظَمَاءَ.,Raja-raja dalam sejarah hebat.
104,حيوان,hewan,حيوانات,hewan-hewan,حَيَوَانَاتُ الْحَدِيقَةِ مُتَنَوِّعَةٌ.,Hewan-hewan di taman beragam.
105,طبيب,dokter,أطباء,para dokter,أَطْبَاءُ الْمُسْتَشْفَىٰ مُتَخَصِّصُونَ.,Dokter-dokter di rumah sakit ahli.
106,باب,pintu,أبواب,pintu-pintu,أَبْوَابُ الْمَكَاتِبِ مَغْلُقَةٌ.,Pintu-pintu kantor tertutup.
107,شجرة,pohon,أشجار,pohon-pohon,أَشْجَارُ الْحَدِيقَةِ خَضْرَاءُ.,Pohon-pohon di taman hijau.
108,جبل,gunung,جبال,gunung-gunung,جِبَالُ الْهِمَلاَيَا شَاهِقَةٌ.,Pegunungan Himalaya menjulang tinggi.
109,فندق,hotel,فنادق,hotel-hotel,فُنَادِقُ الْمَدِينَةِ فَخِمَةٌ.,Hotel-hotel di kota mewah.
110,مطعم,restoran,مطاعم,restoran-restoran,مَطَاعِمُ الْحَيِّ تَقْدِمُ أَطْعِمَةً لَذِيذَةً.,Restoran-restoran di lingkungan menyajikan makanan lezat.
111,كرسي,kursi,كراسي,kursi-kursi,الْكُرَاسِيُّ فِي الصَّفِّ مُرِيحَةٌ.,Kursi di kelas nyaman.
112,بنت,anak perempuan,بنات,anak-anak perempuan,الْبَنَاتُ يَلْعَبْنَ فِي الْحَدِيقَةِ.,Gadis-gadis bermain di taman.
113,ولد,anak laki-laki,أولاد,anak-anak laki-laki,الْأَوْلَادُ يَدْرُسُونَ فِي الْمَدْرَسَةِ.,Anak-anak laki-laki belajar di sekolah.
114,طريق,jalan,طرق,jalan-jalan,الطُّرُقُ فِي الْمَدِينَةِ مُزْدَحِمَةٌ.,Jalan-jalan di kota padat.
115,بيت,rumah,بيوت,rumah-rumah,الْبُيُوتُ فِي الْقَرْيَةِ صَغِيرَةٌ.,Rumah-rumah di desa kecil.
116,سوق,pasar,أسواق,pasar-pasar,الْأَسْوَاقُ مَلِيئَةٌ بِالْبِضَائِعِ.,Pasar-pasar penuh dengan barang-barang.
117,مكان,tempat,أماكن,tempat-tempat,الْأَمَاكِنُ السِّيَاحِيَّةُ رَائِعَةٌ.,Tempat-tempat wisata indah.
118,كتاب,buku,كتب,buku-buku,الْكُتُبُ مُفِيدَةٌ لِلْقِرَاءَةِ.,Buku-buku bermanfaat untuk dibaca.
119,فيلم,film,أفلام,film-film,الْأَفْلَامُ تُعْرَضُ فِي السِّينِمَا.,Film-film ditayangkan di bioskop.
120,صورة,gambar,صور,gambar-gambar,الصُّوَرُ تَزِيُّنُ الْجُدُرَانَ.,Gambar-gambar menghiasi dinding.
121,اسم,nama,أسماء,nama-nama,الْأَسْمَاءُ مَشْهُورَةٌ فِي الْمُجْتَمَعِ.,Nama-nama terkenal di masyarakat.
122,يوم,hari,أيام,hari-hari,الْأَيَّامُ تَمُرُّ بِسُرْعَةٍ.,Hari-hari berlalu dengan cepat.
123,شهر,bulan,أشهر,bulan-bulan,الْأَشْهُرُ تَتَغَيَّرُ كُلَّ سَنَةٍ.,Bulan-bulan berubah setiap tahun.
124,سنة,tahun,سنوات,tahun-tahun,السِّنُوَاتُ تَمُرُّ وَلَا تَعُودُ.,Tahun-tahun berlalu dan tidak kembali.
125,فصل,musim/kelas,فصول,musim-musim/kelas-kelas,الْفُصُولُ الْأَرْبَعَةُ جَمِيلَةٌ.,Empat musim indah.
126,دولة,negara,دول,negara-negara,الدُّوَلُ تَتَعَاوَنُ فِي الْمُؤْتَمَرَاتِ.,Negara-negara bekerja sama dalam konferensi.
127,مدينة,kota,مدن,kota-kota,الْمُدُنُ كَبِيرَةٌ وَصَاخِبَةٌ.,Kota-kota besar dan ramai.
128,طفل,anak kecil,أطفال,anak-anak kecil,الْأَطْفَالُ يَلْعَبُونَ فِي السَّاحَةِ.,Anak-anak bermain di halaman.
129,قصة,cerita,قصص,cerita-cerita,الْقَصَصُ مُمْتَعَةٌ لِلْأَطْفَالِ.,Cerita-cerita menyenangkan untuk anak-anak.
130,درس,pelajaran,دروس,pelajaran-pelajaran,الدُّرُوسُ مُفِيدَةٌ لِلتَّعْلِمِ.,Pelajaran-pelajaran bermanfaat untuk belajar.
131,فكرة,ide,أفكار,ide-ide,الْأَفْكَارُ الْجَدِيدَةُ تَسَاهَمُ فِي التَّطْوِيرِ.,Ide-ide baru berkontribusi pada pengembangan.
132,مشكلة,masalah,مشاكل,masalah-masalah,الْمُشَاكِلُ تَحْتَاجُ إِلَى حُلُولٍ.,Masalah-masalah membutuhkan solusi.
133,حل,solusi,حلول,solusi-solusi,الْحُلُولُ تَأْتِي بَعْدَ التَّفْكِيرِ الْعَمِيقِ.,Solusi datang setelah pemikiran mendalam.
134,عمل,pekerjaan,أعمال,pekerjaan-pekerjaan,الْأَعْمَالُ تَزْهَرُ فِي السُّوقِ.,Bisnis-bisnis berkembang di pasar.
135,خبر,berita,أخبار,berita-berita,الْأَخْبَارُ تَنْتَشِرُ بِسُرْعَةٍ.,Berita menyebar dengan cepat.
136,حدث,peristiwa,أحداث,peristiwa-peristiwa,الْأَحْدَاثُ تَحْدُثُ فِي كُلِّ يَوْمٍ.,Peristiwa-peristiwa terjadi setiap hari.
137,سؤال,pertanyaan,أسئلة,pertanyaan-pertanyaan,الْأَسْئِلَةُ تَسَاعُدُ عَلَى الْفَهْمِ.,Pertanyaan-pertanyaan membantu dalam pemahaman.
138,جواب,jawaban,أجوبة,jawaban-jawaban,الْأَجْوَبَةُ تَكُونُ مُفِيدَةً.,Jawaban-jawaban bermanfaat.
139,كلمة,kata,كلمات,kata-kata,الْكَلِمَاتُ تَعْبُرُ عَنِ الْأَفْكَارِ.,Kata-kata mengekspresikan ide-ide.
140,جملة,kalimat,جمل,kalimat-kalimat,الْجُمَلُ تَكُونُ النَّصُوصَ.,Kalimat-kalimat membentuk teks.
141,هاتف,telepon,هواتف,telepon-telepon,الْهَوَاتِفُ الْحَدِيثَةُ مُتَطَوِّرَةٌ.,Telepon modern canggih.
142,رسالة,surat,رسائل,surat-surat,الرَّسَائِلُ تَصِلُ بِسُرْعَةٍ.,Pesan-pesan tiba dengan cepat.
143,برنامج,program,برامج,program-program,الْبَرَامِجُ التِّلْفِزْيُونِيَّةُ مُمْتَعَةٌ.,Program-program televisi menyenangkan.
144,موقع,situs,مواقع,situs-situs,الْمَوَاقِعُ الإِلِكْتْرُونِيَّةُ مُفِيدَةٌ.,Situs web bermanfaat.
145,نظام,sistem,أنظمة,sistem-sistem,الْأَنْظِمَةُ تَتَغَيَّرُ مَعَ الْوَقْتِ.,Sistem-sistem berubah seiring waktu.
146,كتاب,buku,كتب,buku-buku,الْكُتُبُ تَحْتَوِي عَلَى الْمَعْرِفَةِ.,Buku-buku berisi pengetahuan.
147,بيت,rumah,بيوت,rumah-rumah,,
148,نافذة,jendela,نوافذ,jendela-jendela,النَّوافِذُ الكَبِيرَةُ في القَصْرِ تُطِلُّ على مَنَاظِرَ طَبِيعِيَّةٍ خَلَّابَةٍ.,Jendela-jendela besar di istana menghadap pemandangan alam yang menakjubkan.
